Submission No,Abstract Title,Primary Category Parent Category,Primary Category,Secondary Category Parent Category,Secondary Category,Speaker ID,First Name,Last Name,session
2369,NeuroCOVID19: Impact of the Virus on the Brain,Novel Imaging Acquisition Methods,Multi-Modal Imaging  ,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,2595,Simon,Graham,Novel Imaging Acquisition Methods
2378,"Nonparametric causal analysis of brain and cognition, applied to developmental neuroimaging",Modeling and Analysis Methods,Modeling and Analysis - Multivariate approaches,Lifespan Development,"Early life, Adolescence, Aging",1873,Manjari,Narayan,Modeling and Analysis - Multivariate approaches
1847,Organization of the Macaque Inferior Parietal Lobe Based on Multimodal Receptor Architectonics,Neuroanatomy,Cortical Anatomy and Brain Mapping,Neuroanatomy,Transmitter Receptors,4155,Meiqi,Niu,Neuroanatomy
1286,Patch flattening for high resolution topographical surveys of MRI & histology without surface meshes,Modeling and Analysis Methods,Methods Development,Neuroanatomy,Cortical Anatomy and Brain Mapping,2103,Omer Faruk,Gulban,Software Demonstrations
2515,Patient-clinician inter-brain synchronization during evoked pain: an EEG hyperscanning study,"Social Neuroscience, Emotion and Motivation",Social Interaction,Novel Imaging Acquisition Methods,EEG ,3727,Alessandra,Anzolin,"Social Neuroscience, Emotion and Motivation"
2193,Performance Scaling for sMRI Surface Parcellations,Modeling and Analysis Methods,Classification and Predictive Modeling,Neuroinformatics and Data Sharing,Brain Atlases,5579,Sage,Hahn,Neuroinformatics and Data Sharing
1347,"Predicting Brain Amyloid using Multivariate Morphometry, Sparse Coding and Correntropy",Modeling and Analysis Methods,Classification and Predictive Modeling,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,2284,Jianfeng,Wu,Disorders of the Nervous System - Neurodegenerative/Late Life
1230,Quantitative structural mapping of the lateral geniculate nucleus subdivisions in living human brain,"Perception, Attention and Motor Behavior",Perception: Visual,Neuroanatomy,Subcortical Structures,1857,Hiroki,Oishi,Novel Imaging Acquisition Methods
2453,Real-time motion monitoring using FIRMM reduces infant head motion during fMRI scanning,Neuroinformatics and Data Sharing,Workflows,Lifespan Development,"Early life, Adolescence, Aging",2343,Carolina,Badke D'Andrea,Neuroinformatics and Data Sharing
1409,Recent Advances in Scattered Light Imaging Enable New Insights into Brainâ€™s Nerve Fiber Architecture,Novel Imaging Acquisition Methods,Imaging Methods Other,Neuroanatomy,"White Matter Anatomy, Fiber Pathways and Connectivity",2479,Miriam,Menzel,Novel Imaging Acquisition Methods
1423,Robustness of task activation is key? An investigation on the test-retest reliability of task fMRI,Novel Imaging Acquisition Methods,BOLD fMRI ,Modeling and Analysis Methods,Other Methods,2519,Matthias,Zerban,Modeling and Analysis - Activation
2139,SANDI-AMICO: an open-source toolbox for fast Soma And Neurite Density Imaging (SANDI) with AMICO,Modeling and Analysis Methods,Diffusion MRI Modeling and Analysis,Neuroanatomy,Cortical Cyto- and Myeloarchitecture,5343,Simona,Schiavi,Software Demonstrations
1932,Shared responses and individual differences in fMRI during movie-viewing,Modeling and Analysis Methods,Modeling and Analysis - Activation,Modeling and Analysis Methods,Methods Development,4491,Xuan,Li,Modeling and Analysis - Activation
2099,Shifting gradients of cortical organization mark the transition from childhood to adolescence,Lifespan Development,Normal Brain Development: Fetus to Adolescence,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,5108,HaoMing,Dong,Lifespan Development
2248,Sympathetic effects on the fMRI signal during a mental task,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,Modeling and Analysis Methods,Modeling and Analysis - Activation,1502,Pinar,Ozbay,Modeling and Analysis - Activation
1131,Task-induced reconfiguration of edge functional connectivity and communities,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,1062,Rick,Betzel,Modeling and Analysis - Connectivity
2084,Temporally Adaptive SourcE Reconstruction (TASER),Modeling and Analysis Methods,EEG/MEG Modeling and Analysis,Novel Imaging Acquisition Methods,MEG ,5033,Ryan,Timms,Novel Imaging Acquisition Methods
1594,Thalamocortical excitability modulation guides human perception under uncertainty,"Perception, Attention and Motor Behavior",Attention: Visual,Higher Cognitive Functions,Decision Making,3171,Julian,Kosciessa,"Perception, Attention and Motor Behavior"
1823,The association between cortical thickness and dimensions of the adolescent psychosis spectrum,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Neuroanatomy,Cortical Anatomy and Brain Mapping,4114,Alyssa,Dai,Disorders of the Nervous System - Psychiatric
1653,The Bermuda Triangle of d- and f-MRI sailors - software for susceptibility distortions (SDCFlows),Modeling and Analysis Methods,Exploratory Modeling and Artifact Removal,Neuroinformatics and Data Sharing,Workflows,1407,Oscar,Esteban,Software Demonstrations
1933,Time-Varying Temporal Functional Modes: A Novel Model to Probe Network Reconfigurations in fMRI,Modeling and Analysis Methods,Methods Development,Modeling and Analysis Methods,Modeling and Analysis - Multivariate approaches,2709,Tamara,de Kloe,Modeling and Analysis - Multivariate approaches
1860,Top-down attention modulates spatiotemporal dynamics of object selectivity: An MEG-fMRI fusion study,"Perception, Attention and Motor Behavior",Attention: Visual,Modeling and Analysis Methods,Modeling and Analysis - Multivariate approaches,4265,Chun-Hui,Li,"Perception, Attention and Motor Behavior"
2196,Towards objective scotomata assessment using fMRI-based retinotopic mapping: a connectomic approach,"Perception, Attention and Motor Behavior",Perception: Visual,Modeling and Analysis Methods,Methods Development,1313,David,Linhardt,"Perception, Attention and Motor Behavior"
1255,Tracking rapid stimulus-driven BOLD oscillations using fast fMRI in the human primary motor cortex,Modeling and Analysis Methods,Modeling and Analysis - Activation,Novel Imaging Acquisition Methods,BOLD fMRI ,1215,Shota,Hodono,Novel Imaging Acquisition Methods
2462,Trajectories of Brain Structure and Function in Subjective Cognitive Decline and Healthy Aging,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,6847,Raymond,Viviano,Disorders of the Nervous System - Neurodegenerative/Late Life
1910,Transcranial static magnetic field stimulation modulates corticostriatal activity,Brain Stimulation,Non-invasive Magnetic/TMS,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,2774,Jaime,Caballero-Insaurriaga,Brain Stimulation
1781,Transdiagnostic connectome-based prediction of craving,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,4009,Kathleen,Garrison,Disorders of the Nervous System - Psychiatric
2447,Transfer-learning U-Net Brain Extraction Tool (DeepBet) on Non-human Primates,Modeling and Analysis Methods,Segmentation and Parcellation,Modeling and Analysis Methods,Methods Development,6862,Xindi,Wang,Software Demonstrations
2441,Unfolding age-related measures of distinct hippocampal surface area and thickness,Lifespan Development,Aging ,Neuroanatomy,Cortical Anatomy and Brain Mapping,1631,Roy,Haast,Lifespan Development
1380,Using fMRI and rTMS to Explore the Role of the Inferior Parietal Lobe in Pain-Related Empathy,"Social Neuroscience, Emotion and Motivation",Social Cognition,Brain Stimulation,Non-invasive Magnetic/TMS,2382,YUN,LI,"Social Neuroscience, Emotion and Motivation"
1239,White matter abnormalities in bipolar disorder and schizophrenia,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Neuroanatomy,"White Matter Anatomy, Fiber Pathways and Connectivity",1887,Guorui,Zhao,Disorders of the Nervous System - Psychiatric
1742,White Matter Tract Atlases of a Century of Human Life,Neuroinformatics and Data Sharing,Brain Atlases,Lifespan Development,Lifespan Development Other,2494,Ye,Wu,Neuroinformatics and Data Sharing
2608,3D Attention Networks for Interpretable Age and Dementia Prediction from Structural MRI,Lifespan Development,Aging ,Modeling and Analysis Methods,Methods Development,7430,Pradeep,Lam,Lifespan Development
2168,3D reconstruction of 20 neurotransmitter receptor atlases from 2D autoradiographs,Neuroinformatics and Data Sharing,Brain Atlases,Neuroanatomy,Transmitter Receptors,5404,Thomas,Funck,"Physiology, Metabolism and Neurotransmission"
1487,A comparison of individualized behaviour prediction across modalities in MRI,Modeling and Analysis Methods,Classification and Predictive Modeling,Modeling and Analysis Methods,Modeling and Analysis - Multivariate approaches,2753,Leon Qi Rong,Ooi,Modeling and Analysis - Multivariate approaches
2150,A low-dimensional connectome manifold governs the organization and plasticity of social brain functi,"Social Neuroscience, Emotion and Motivation",Social Cognition,"Social Neuroscience, Emotion and Motivation",Social Neuroscience Other,5387,Sofie,Valk,"Social Neuroscience, Emotion and Motivation"
1274,A multiscale cortical wiring space charts adolescent development of structural brain networks,Lifespan Development,"Early life, Adolescence, Aging",Modeling and Analysis Methods,Methods Development,1127,Bo-yong,Park,Lifespan Development
1883,A new Hypothesis on Brain Plasticity: Dynamic Changes of GM & WM After Retinal Gene Therapy,Learning and Memory,Neural Plasticity and Recovery of Function,Neuroanatomy,"White Matter Anatomy, Fiber Pathways and Connectivity",4369,Manzar,Ashtari,Learning and Memory
1553,A reduction of the excitation:inhibition balance in association cortex during adolescence,Lifespan Development,"Early life, Adolescence, Aging","Physiology, Metabolism and Neurotransmission",Pharmacology and Neurotransmission,3035,Bart,Larsen,Lifespan Development
2479,A study of fetal resting-state networks in the developmental Human Connectome Project (dHCP),Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Lifespan Development,Normal Brain Development: Fetus to Adolescence,5165,Vyacheslav,Karolis,Lifespan Development
1493,A trans-species neuroanatomical model for the triple-network organization.,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Brain Stimulation,Direct Electrical/Optogenetic Stimulation,2777,RoÃ«l,Vrooman,Modeling and Analysis - Connectivity
2263,A Week in the Life of the Brain: Complementary Stable Metastates Emerge from Days of Continuous ECOG,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,Higher Cognitive Functions,Higher Cognitive Functions Other,4019,Maxwell,Wang,Modeling and Analysis - Connectivity
1162,Abnormal DFC between basal ganglia and salience networks in individuals with obesity,Novel Imaging Acquisition Methods,BOLD fMRI ,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,1585,Zongxin,Tan,Novel Imaging Acquisition Methods
2309,Accurate brain-age prediction from clinically relevant structural MRI scans,Modeling and Analysis Methods,Classification and Predictive Modeling,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,5749,David,Wood,Modeling and Analysis - Multivariate approaches
2436,Accurate Prediction of Fetal Brain Age using Multi-View Slices from Structural MRI,Lifespan Development,Normal Brain Development: Fetus to Adolescence,Lifespan Development,"Early life, Adolescence, Aging",6347,HyukJin,Yun,Lifespan Development
2537,Adolescent Brain Cognitive Development (ABCD) Community MRI Collection and Utilities,Neuroinformatics and Data Sharing,Databasing and Data Sharing,Modeling and Analysis Methods,Methods Development,3697,Eric,Feczko,Neuroinformatics and Data Sharing
1972,Age-related differences in structural and functional networks involved in positive and negative empa,Lifespan Development,Aging ,"Social Neuroscience, Emotion and Motivation",Social Cognition,4675,Maryam,Ziaei,Lifespan Development
2518,Altered cortical thickness development in 22q11DS and association with psychotic symptoms,Genetics,Neurogenetic Syndromes,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,7045,Joelle,Bagautdinova,Genetics
2455,Altered inter-regional similarity in BOLD variability traces functional integration in aging,Lifespan Development,Aging ,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,6221,Giulia,Baracchini,Lifespan Development
1704,Altered network stability in progressive supranuclear palsy and frontotemporal dementia,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,3666,David,Whiteside,Disorders of the Nervous System - Neurodegenerative/Late Life
2616,An Adolescent Brain Cognitive Development Study adult cohort,Neuroinformatics and Data Sharing,Databasing and Data Sharing,Lifespan Development,Normal Brain Development: Fetus to Adolescence,7401,Kristina,Rapuano,Neuroinformatics and Data Sharing
